#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         550    -5.53666    -5.46458  0.00408339
         551    -5.53949    -5.46472  0.00407824
         552    -5.54257    -5.46486  0.00407329
         553    -5.54545      -5.465  0.00406853
         554    -5.54828    -5.46516  0.00406397
         555    -5.55092    -5.46531  0.00405958
         556     -5.5535    -5.46547  0.00405538
         557    -5.55587    -5.46563  0.00405134
         558    -5.55803     -5.4658  0.00404746
         559    -5.56044    -5.46597  0.00404376
         560    -5.56279    -5.46614  0.00404024
         561    -5.56477    -5.46631  0.00403686
         562    -5.56698    -5.46649  0.00403365
         563    -5.56898    -5.46668  0.00403059
         564    -5.57092    -5.46686  0.00402768
         565    -5.57309    -5.46705  0.00402493
         566    -5.57488    -5.46724  0.00402233
         567    -5.57721    -5.46743  0.00401991
         568    -5.57901    -5.46763  0.00401763
         569    -5.58074    -5.46783  0.00401548
         570    -5.58255    -5.46803  0.00401348
         571    -5.58413    -5.46823   0.0040116
         572    -5.58533    -5.46844   0.0040098
         573    -5.58661    -5.46864   0.0040081
         574    -5.58811    -5.46885  0.00400652
         575    -5.58954    -5.46906  0.00400505
         576    -5.59119    -5.46927   0.0040037
         577    -5.59201    -5.46949  0.00400241
         578    -5.59305     -5.4697  0.00400119
         579    -5.59432    -5.46992  0.00400006
         580     -5.5949    -5.47013  0.00399897
         581    -5.59572    -5.47035  0.00399792
         582     -5.5963    -5.47056  0.00399691
         583    -5.59681    -5.47078  0.00399591
         584    -5.59739      -5.471  0.00399495
         585    -5.59775    -5.47121  0.00399399
         586    -5.59818    -5.47143  0.00399305
         587    -5.59839    -5.47165   0.0039921
         588    -5.59898    -5.47186  0.00399118
         589    -5.59889    -5.47208  0.00399022
         590    -5.59918    -5.47229  0.00398927
         591    -5.59911    -5.47251  0.00398829
         592    -5.59911    -5.47272  0.00398728
         593    -5.59905    -5.47294  0.00398624
         594    -5.59892    -5.47315  0.00398517
         595    -5.59842    -5.47336  0.00398403
         596    -5.59816    -5.47357  0.00398285
         597    -5.59799    -5.47378  0.00398162
         598    -5.59761    -5.47398  0.00398035
         599    -5.59702    -5.47419    0.003979
         600    -5.59653    -5.47439  0.00397759
         601    -5.59629     -5.4746  0.00397614
         602    -5.59584     -5.4748  0.00397463
         603    -5.59519      -5.475  0.00397305
         604    -5.59449    -5.47519  0.00397139
         605    -5.59359    -5.47539  0.00396965
