#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         475      0.8661     0.90783   0.0022963
         476    0.866187    0.907742  0.00229314
         477    0.866287    0.907655  0.00228998
         478    0.866402    0.907569  0.00228681
         479    0.866537    0.907483  0.00228364
         480    0.866686    0.907398  0.00228047
         481     0.86685    0.907314  0.00227728
         482     0.86703     0.90723  0.00227409
         483    0.867236    0.907147  0.00227089
         484    0.867455    0.907065  0.00226768
         485    0.867696    0.906984  0.00226446
         486    0.867961    0.906904  0.00226122
         487    0.868253    0.906825  0.00225797
         488    0.868564    0.906746   0.0022547
         489    0.868898    0.906669  0.00225142
         490    0.869258    0.906592  0.00224812
         491    0.869644    0.906517   0.0022448
         492     0.87006    0.906443  0.00224146
         493    0.870507     0.90637   0.0022381
         494    0.870979    0.906299  0.00223471
         495    0.871481    0.906228  0.00223131
         496    0.872022    0.906159  0.00222787
         497    0.872587    0.906092  0.00222441
         498    0.873189    0.906026  0.00222093
         499     0.87382    0.905961  0.00221742
         500    0.874482    0.905898  0.00221387
         501    0.875179    0.905837   0.0022103
         502    0.875911    0.905777   0.0022067
         503    0.876678    0.905719  0.00220308
         504    0.877476    0.905663  0.00219942
         505    0.878308    0.905609  0.00219573
         506    0.879169    0.905557  0.00219201
         507    0.880064    0.905507  0.00218826
         508    0.880992    0.905458  0.00218449
         509    0.881957    0.905412  0.00218069
         510    0.882949    0.905368  0.00217685
         511    0.883982    0.905326    0.002173
         512     0.88504    0.905287  0.00216911
         513    0.886132    0.905249  0.00216521
         514    0.887259    0.905214  0.00216128
         515    0.888419    0.905182  0.00215733
         516    0.889604    0.905152  0.00215336
         517    0.890817    0.905124  0.00214937
         518    0.892061    0.905099  0.00214537
         519    0.893331    0.905076  0.00214135
         520    0.894628    0.905056  0.00213733
         521    0.895954    0.905038   0.0021333
         522    0.897301    0.905024  0.00212926
         523    0.898671    0.905011  0.00212523
         524    0.900061    0.905002  0.00212119
         525    0.901474    0.904995  0.00211716
         526    0.902908    0.904991  0.00211314
         527    0.904355     0.90499  0.00210913
         528    0.905825    0.904992  0.00210514
         529     0.90731    0.904996  0.00210116
         530    0.908805    0.905003  0.00209721
         531    0.910306    0.905013  0.00209329
         532    0.911823    0.905026  0.00208939
         533    0.913354    0.905042  0.00208553
         534    0.914887     0.90506   0.0020817
         535    0.916425    0.905081  0.00207792
         536    0.917968    0.905105  0.00207418
         537    0.919511    0.905132   0.0020705
         538    0.921054    0.905162  0.00206686
         539    0.922598    0.905194  0.00206328
         540     0.92414    0.905229  0.00205975
         541    0.925677    0.905267  0.00205629
         542    0.927208    0.905307   0.0020529
         543    0.928731    0.905351  0.00204957
         544    0.930243    0.905396  0.00204631
         545    0.931742    0.905445  0.00204313
         546    0.933234    0.905496  0.00204002
         547    0.934709    0.905549  0.00203699
         548    0.936172    0.905605  0.00203404
         549    0.937616    0.905663  0.00203117
         550    0.939044    0.905724  0.00202838
         551    0.940453    0.905787  0.00202568
         552    0.941837    0.905852  0.00202307
         553    0.943202     0.90592  0.00202053
         554    0.944543     0.90599  0.00201809
         555    0.945864    0.906061  0.00201573
         556    0.947158    0.906135  0.00201346
         557    0.948429    0.906211  0.00201128
         558    0.949674    0.906289  0.00200918
         559    0.950886    0.906369  0.00200717
         560    0.952069     0.90645  0.00200524
         561    0.953225    0.906534   0.0020034
         562    0.954346    0.906619  0.00200164
         563    0.955437    0.906706  0.00199996
         564    0.956495    0.906794  0.00199837
         565    0.957516    0.906884  0.00199684
         566    0.958507    0.906975   0.0019954
         567    0.959454    0.907067  0.00199402
         568    0.960373    0.907161  0.00199272
         569    0.961256    0.907256  0.00199149
         570      0.9621    0.907353  0.00199031
         571    0.962909     0.90745  0.00198921
         572    0.963685    0.907548  0.00198816
         573    0.964422    0.907647  0.00198716
         574    0.965116    0.907748  0.00198622
         575    0.965773    0.907848  0.00198533
         576    0.966386     0.90795  0.00198448
         577    0.966973    0.908052  0.00198368
         578    0.967517    0.908155  0.00198291
         579    0.968018    0.908259  0.00198218
         580    0.968489    0.908363  0.00198148
         581    0.968918    0.908467  0.00198081
         582     0.96931    0.908571  0.00198016
         583    0.969665    0.908676  0.00197954
         584    0.969979    0.908781  0.00197893
         585    0.970258    0.908886  0.00197833
         586    0.970497    0.908991  0.00197775
         587    0.970701    0.909096  0.00197717
         588    0.970861    0.909201   0.0019766
         589    0.970994    0.909306  0.00197603
         590    0.971085    0.909411  0.00197545
         591    0.971144    0.909516  0.00197487
         592    0.971166     0.90962  0.00197427
         593    0.971154    0.909723  0.00197367
         594    0.971109    0.909827  0.00197305
         595    0.971034     0.90993  0.00197241
         596    0.970924    0.910032  0.00197176
         597    0.970779    0.910134  0.00197108
         598    0.970606    0.910235  0.00197037
         599    0.970405    0.910335  0.00196964
         600    0.970173    0.910435  0.00196888
         601    0.969909    0.910534  0.00196809
         602     0.96962    0.910632  0.00196727
         603    0.969307    0.910729  0.00196641
         604    0.968969    0.910826  0.00196552
         605    0.968609    0.910921  0.00196459
         606    0.968219    0.911016  0.00196362
         607    0.967813     0.91111  0.00196262
         608    0.967382    0.911202  0.00196157
         609    0.966936    0.911294  0.00196048
         610    0.966467    0.911384  0.00195935
         611     0.96598    0.911473  0.00195818
         612    0.965478    0.911562  0.00195697
         613    0.964963    0.911649  0.00195572
         614    0.964436    0.911735  0.00195442
         615    0.963899     0.91182  0.00195308
         616    0.963344    0.911903   0.0019517
         617    0.962784    0.911986  0.00195028
         618    0.962215    0.912067  0.00194882
         619    0.961638    0.912147  0.00194731
         620     0.96105    0.912226  0.00194577
         621    0.960462    0.912304  0.00194418
         622    0.959872     0.91238  0.00194256
         623    0.959281    0.912455   0.0019409
         624     0.95869    0.912529  0.00193921
         625    0.958099    0.912602  0.00193747
         626    0.957517    0.912674  0.00193571
         627    0.956938    0.912745  0.00193391
         628    0.956369    0.912814  0.00193207
         629    0.955808    0.912882  0.00193021
         630    0.955255     0.91295  0.00192832
         631    0.954716    0.913016   0.0019264
         632    0.954186    0.913081  0.00192445
         633    0.953681    0.913145  0.00192248
         634    0.953193    0.913208  0.00192048
         635    0.952722    0.913271  0.00191847
         636    0.952272    0.913332  0.00191643
         637    0.951846    0.913392  0.00191438
         638    0.951453    0.913452  0.00191231
         639    0.951078    0.913511  0.00191022
         640    0.950739    0.913569  0.00190812
         641    0.950429    0.913627  0.00190601
         642    0.950149    0.913683  0.00190389
         643    0.949904     0.91374  0.00190176
         644    0.949694    0.913796  0.00189963
         645    0.949526    0.913851  0.00189749
         646    0.949392    0.913906  0.00189535
         647    0.949298    0.913961  0.00189321
         648    0.949246    0.914015  0.00189107
         649    0.949234    0.914069  0.00188894
         650    0.949268    0.914124  0.00188681
         651    0.949351    0.914178  0.00188468
         652    0.949474    0.914232  0.00188257
         653    0.949639    0.914286  0.00188047
         654    0.949847     0.91434  0.00187838
         655    0.950105    0.914395   0.0018763
         656    0.950413     0.91445  0.00187425
         657     0.95077    0.914505  0.00187221
         658    0.951176    0.914561  0.00187019
         659    0.951623    0.914617   0.0018682
         660    0.952116    0.914674  0.00186623
         661    0.952657    0.914732   0.0018643
         662    0.953233     0.91479  0.00186239
         663     0.95386    0.914849  0.00186051
         664    0.954527    0.914908  0.00185867
         665    0.955227    0.914969  0.00185686
         666    0.955965    0.915031  0.00185509
         667    0.956739    0.915093  0.00185336
         668    0.957544    0.915157  0.00185168
         669    0.958384    0.915221  0.00185004
         670     0.95925    0.915287  0.00184844
         671    0.960146    0.915354   0.0018469
         672    0.961061    0.915422   0.0018454
         673       0.962    0.915491  0.00184396
         674    0.962952    0.915561  0.00184256
         675    0.963925    0.915633  0.00184123
         676    0.964905    0.915706  0.00183995
         677    0.965893     0.91578  0.00183872
         678    0.966889    0.915856  0.00183755
         679    0.967884    0.915932  0.00183644
         680    0.968878     0.91601  0.00183539
         681     0.96987    0.916089   0.0018344
         682     0.97085    0.916169  0.00183347
         683    0.971815    0.916251  0.00183259
         684    0.972772    0.916333  0.00183178
         685    0.973712    0.916417  0.00183102
         686    0.974634    0.916502  0.00183031
         687    0.975535    0.916588  0.00182966
         688    0.976406    0.916675  0.00182907
         689    0.977253    0.916763  0.00182853
         690    0.978064    0.916852  0.00182803
         691    0.978838    0.916941  0.00182759
         692    0.979575    0.917032  0.00182719
         693    0.980273    0.917123  0.00182683
         694    0.980929    0.917215  0.00182651
         695    0.981541    0.917308  0.00182622
         696    0.982107    0.917401  0.00182597
         697    0.982627    0.917494  0.00182575
         698    0.983099    0.917588  0.00182555
         699    0.983515    0.917683  0.00182537
         700    0.983878    0.917777  0.00182521
         701    0.984183    0.917872  0.00182507
         702    0.984433    0.917967  0.00182493
         703     0.98463    0.918062  0.00182479
         704    0.984767    0.918156  0.00182466
         705     0.98484    0.918251  0.00182452
         706    0.984856    0.918345  0.00182437
         707     0.98481    0.918439  0.00182421
         708    0.984704    0.918533  0.00182404
         709    0.984532    0.918626  0.00182384
         710    0.984293    0.918719  0.00182361
         711    0.983993     0.91881  0.00182336
         712    0.983627    0.918901  0.00182307
         713    0.983192    0.918992  0.00182274
         714    0.982697    0.919081  0.00182237
         715    0.982134    0.919169  0.00182195
         716    0.981509    0.919256  0.00182149
         717    0.980822    0.919342  0.00182097
         718    0.980073    0.919426   0.0018204
         719     0.97926     0.91951  0.00181977
         720    0.978391    0.919591  0.00181908
         721    0.977457    0.919672  0.00181832
         722    0.976467     0.91975   0.0018175
         723    0.975411    0.919827  0.00181662
         724    0.974297    0.919903  0.00181567
         725    0.973126    0.919976  0.00181465
         726    0.971905    0.920048  0.00181356
         727    0.970625    0.920117   0.0018124
         728    0.969289    0.920185  0.00181116
         729    0.967903     0.92025  0.00180986
         730    0.966463    0.920313  0.00180849
