#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         311     1.85227     1.66163  0.00464602
         312     1.85302     1.66225  0.00467144
         313     1.85375     1.66286  0.00469641
         314     1.85448     1.66347  0.00472094
         315      1.8552     1.66408  0.00474503
         316     1.85592     1.66469  0.00476869
         317     1.85664     1.66529  0.00479194
         318     1.85736      1.6659  0.00481478
         319     1.85807      1.6665  0.00483723
         320     1.85879      1.6671  0.00485929
         321     1.85951      1.6677  0.00488099
         322     1.86022      1.6683  0.00490231
         323     1.86094     1.66889  0.00492328
         324     1.86166     1.66949   0.0049439
         325     1.86237     1.67008  0.00496419
         326     1.86308     1.67067  0.00498414
         327     1.86378     1.67126  0.00500376
         328     1.86447     1.67185  0.00502305
         329     1.86515     1.67244  0.00504203
         330     1.86582     1.67303  0.00506069
         331     1.86648     1.67361  0.00507904
         332     1.86711     1.67419  0.00509707
         333     1.86772     1.67477  0.00511479
         334     1.86831     1.67535  0.00513219
         335     1.86886     1.67593  0.00514927
         336     1.86939     1.67651  0.00516604
         337     1.86988     1.67708  0.00518248
         338     1.87034     1.67765  0.00519859
         339     1.87075     1.67822  0.00521437
         340     1.87112     1.67879  0.00522981
         341     1.87145     1.67936   0.0052449
         342     1.87172     1.67992  0.00525964
         343     1.87194     1.68048  0.00527402
         344      1.8721     1.68103  0.00528802
         345      1.8722     1.68159  0.00530164
         346     1.87224     1.68214  0.00531488
         347     1.87222     1.68269  0.00532772
         348     1.87212     1.68323  0.00534015
         349     1.87196     1.68377  0.00535215
         350     1.87172     1.68431  0.00536373
         351     1.87141     1.68484  0.00537488
         352     1.87102     1.68537  0.00538557
         353     1.87055      1.6859   0.0053958
         354        1.87     1.68642  0.00540556
         355     1.86936     1.68693  0.00541484
         356     1.86864     1.68744  0.00542363
         357     1.86784     1.68795  0.00543193
         358     1.86694     1.68845  0.00543972
         359     1.86596     1.68894  0.00544699
         360     1.86488     1.68943  0.00545374
         361     1.86371     1.68991  0.00545996
         362     1.86245     1.69039  0.00546564
         363      1.8611     1.69086  0.00547078
         364     1.85965     1.69132  0.00547537
         365      1.8581     1.69178   0.0054794
         366     1.85646     1.69223  0.00548287
         367     1.85472     1.69267  0.00548578
         368     1.85288     1.69311  0.00548812
         369     1.85094     1.69354  0.00548988
         370      1.8489     1.69396  0.00549108
         371     1.84677     1.69437  0.00549171
         372     1.84454     1.69477  0.00549176
         373     1.84221     1.69517  0.00549125
         374     1.83978     1.69555  0.00549016
         375     1.83725     1.69593  0.00548851
         376     1.83463      1.6963  0.00548629
         377     1.83191     1.69666  0.00548352
         378     1.82909     1.69701  0.00548019
         379     1.82619     1.69735  0.00547632
         380     1.82318     1.69768  0.00547191
         381     1.82009       1.698  0.00546697
         382     1.81691     1.69832  0.00546152
         383     1.81364     1.69862  0.00545555
         384     1.81029     1.69891  0.00544909
         385     1.80685     1.69919  0.00544214
         386     1.80332     1.69946  0.00543473
         387     1.79972     1.69972  0.00542686
         388     1.79605     1.69996  0.00541855
         389      1.7923      1.7002  0.00540981
         390     1.78847     1.70043  0.00540067
         391     1.78458     1.70064  0.00539115
         392     1.78063     1.70085  0.00538126
         393     1.77662     1.70104  0.00537102
         394     1.77255     1.70122  0.00536045
         395     1.76843     1.70139  0.00534958
         396     1.76426     1.70155  0.00533842
         397     1.76005      1.7017  0.00532701
         398      1.7558     1.70183  0.00531536
         399     1.75152     1.70196   0.0053035
         400     1.74722     1.70207  0.00529145
         401     1.74289     1.70217  0.00527923
         402     1.73854     1.70226  0.00526687
         403     1.73419     1.70234   0.0052544
         404     1.72983     1.70241  0.00524183
         405     1.72548     1.70247   0.0052292
         406     1.72114     1.70251  0.00521652
         407     1.71681     1.70255  0.00520382
         408     1.71251     1.70257  0.00519113
         409     1.70824     1.70259  0.00517845
         410       1.704     1.70259  0.00516582
         411     1.69981     1.70258  0.00515326
         412     1.69567     1.70257  0.00514078
         413     1.69158     1.70254   0.0051284
         414     1.68756      1.7025  0.00511614
         415     1.68361     1.70246  0.00510401
         416     1.67973      1.7024  0.00509204
         417     1.67594     1.70234  0.00508022
         418     1.67223     1.70227  0.00506858
         419     1.66862     1.70219  0.00505712
         420      1.6651      1.7021  0.00504585
         421     1.66169       1.702  0.00503478
         422     1.65838      1.7019  0.00502391
         423     1.65518     1.70179  0.00501324
         424     1.65209     1.70167  0.00500279
         425     1.64912     1.70155  0.00499255
         426     1.64627     1.70142  0.00498251
         427     1.64354     1.70128  0.00497269
         428     1.64093     1.70114  0.00496307
         429     1.63844       1.701  0.00495365
         430     1.63608     1.70085  0.00494443
         431     1.63383     1.70069   0.0049354
         432      1.6317     1.70053  0.00492656
         433      1.6297     1.70037   0.0049179
         434      1.6278      1.7002  0.00490941
         435     1.62603     1.70003  0.00490108
         436     1.62436     1.69986  0.00489291
         437      1.6228     1.69968  0.00488489
         438     1.62135      1.6995  0.00487701
         439        1.62     1.69932  0.00486926
         440     1.61875     1.69914  0.00486164
         441     1.61759     1.69895  0.00485413
         442     1.61652     1.69877  0.00484673
         443     1.61553     1.69858  0.00483943
         444     1.61462     1.69839  0.00483222
         445     1.61379      1.6982   0.0048251
         446     1.61303     1.69801  0.00481806
         447     1.61234     1.69782  0.00481109
         448     1.61171     1.69762  0.00480419
         449     1.61114     1.69743  0.00479735
         450     1.61062     1.69724  0.00479057
         451     1.61016     1.69704  0.00478383
         452     1.60974     1.69685  0.00477715
         453     1.60936     1.69666  0.00477051
         454     1.60902     1.69647   0.0047639
         455     1.60872     1.69627  0.00475733
         456     1.60845     1.69608   0.0047508
         457     1.60821     1.69589  0.00474429
         458     1.60801      1.6957  0.00473781
         459     1.60782      1.6955  0.00473136
         460     1.60767     1.69531  0.00472492
         461     1.60754     1.69512  0.00471851
         462     1.60742     1.69493  0.00471211
         463     1.60734     1.69474  0.00470573
         464     1.60727     1.69456  0.00469936
         465     1.60722     1.69437  0.00469301
         466     1.60719     1.69418  0.00468667
         467     1.60718     1.69399  0.00468033
         468     1.60719     1.69381    0.004674
