#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         469     1.07148     1.12908  0.00311179
         470     1.07151     1.12896  0.00310758
         471     1.07156     1.12884  0.00310337
         472     1.07163     1.12872  0.00309916
         473      1.0717      1.1286  0.00309495
         474      1.0718     1.12848  0.00309074
         475     1.07191     1.12836  0.00308653
         476     1.07204     1.12824  0.00308231
         477     1.07219     1.12812  0.00307809
         478     1.07236     1.12801  0.00307386
         479     1.07255     1.12789  0.00306962
         480     1.07276     1.12777  0.00306537
         481       1.073     1.12766  0.00306111
         482     1.07326     1.12755  0.00305684
         483     1.07355     1.12744  0.00305256
         484     1.07387     1.12733  0.00304826
         485     1.07421     1.12722  0.00304394
         486     1.07459     1.12711   0.0030396
         487     1.07499       1.127  0.00303524
         488     1.07543      1.1269  0.00303086
         489      1.0759     1.12679  0.00302646
         490     1.07641     1.12669  0.00302203
         491     1.07695     1.12659  0.00301757
         492     1.07753     1.12649  0.00301308
         493     1.07815     1.12639  0.00300857
         494      1.0788     1.12629  0.00300402
         495      1.0795      1.1262  0.00299944
         496     1.08024     1.12611  0.00299482
         497     1.08102     1.12601  0.00299017
         498     1.08185     1.12593  0.00298548
         499     1.08271     1.12584  0.00298075
         500     1.08362     1.12575  0.00297599
         501     1.08458     1.12567  0.00297118
         502     1.08558     1.12559  0.00296633
         503     1.08662     1.12552  0.00296145
         504     1.08771     1.12544  0.00295652
         505     1.08885     1.12537  0.00295156
         506     1.09003      1.1253  0.00294655
         507     1.09126     1.12523   0.0029415
         508     1.09253     1.12517  0.00293642
         509     1.09385     1.12511  0.00293129
         510     1.09521     1.12505  0.00292613
         511     1.09662     1.12499  0.00292093
         512     1.09807     1.12494   0.0029157
         513     1.09956     1.12489  0.00291044
         514     1.10109     1.12484  0.00290514
         515     1.10267      1.1248  0.00289982
         516     1.10429     1.12476  0.00289447
         517     1.10594     1.12472   0.0028891
         518     1.10764     1.12469  0.00288371
         519     1.10937     1.12466  0.00287831
         520     1.11114     1.12463  0.00287289
         521     1.11294     1.12461  0.00286746
         522     1.11477     1.12459  0.00286203
         523     1.11663     1.12458   0.0028566
         524     1.11853     1.12457  0.00285117
         525     1.12045     1.12456  0.00284575
         526     1.12239     1.12455  0.00284035
         527     1.12436     1.12455  0.00283496
         528     1.12635     1.12456  0.00282959
         529     1.12836     1.12456  0.00282425
         530     1.13039     1.12458  0.00281894
         531     1.13243     1.12459  0.00281367
         532     1.13449     1.12461  0.00280844
         533     1.13656     1.12463  0.00280327
         534     1.13864     1.12466  0.00279814
         535     1.14072     1.12469  0.00279307
         536     1.14281     1.12472  0.00278806
         537      1.1449     1.12476  0.00278312
         538       1.147      1.1248  0.00277826
         539     1.14909     1.12485  0.00277347
         540     1.15118     1.12489  0.00276876
         541     1.15326     1.12495  0.00276414
         542     1.15533       1.125  0.00275961
         543      1.1574     1.12506  0.00275517
         544     1.15945     1.12513  0.00275083
         545     1.16148     1.12519  0.00274659
         546      1.1635     1.12526  0.00274246
         547      1.1655     1.12534  0.00273843
         548     1.16749     1.12541  0.00273451
         549     1.16944     1.12549  0.00273071
         550     1.17138     1.12558  0.00272702
         551     1.17329     1.12566  0.00272344
         552     1.17517     1.12575  0.00271999
         553     1.17702     1.12585  0.00271665
         554     1.17884     1.12594  0.00271343
         555     1.18063     1.12604  0.00271033
         556     1.18239     1.12614  0.00270735
         557     1.18411     1.12625  0.00270449
         558     1.18579     1.12635  0.00270174
         559     1.18743     1.12646  0.00269912
         560     1.18904     1.12657  0.00269661
         561      1.1906     1.12669  0.00269422
         562     1.19212      1.1268  0.00269194
         563      1.1936     1.12692  0.00268977
         564     1.19504     1.12704  0.00268771
         565     1.19643     1.12717  0.00268576
         566     1.19777     1.12729  0.00268391
         567     1.19907     1.12742  0.00268216
         568     1.20032     1.12755  0.00268051
         569     1.20152     1.12768  0.00267895
         570     1.20267     1.12781  0.00267748
         571     1.20378     1.12794  0.00267609
         572     1.20483     1.12807  0.00267478
         573     1.20583     1.12821  0.00267356
         574     1.20678     1.12835   0.0026724
         575     1.20769     1.12849  0.00267131
         576     1.20854     1.12862  0.00267029
         577     1.20933     1.12876  0.00266932
         578     1.21008      1.1289  0.00266841
         579     1.21078     1.12905  0.00266754
         580     1.21142     1.12919  0.00266672
         581     1.21201     1.12933  0.00266594
         582     1.21256     1.12947  0.00266519
         583     1.21305     1.12962  0.00266447
         584     1.21349     1.12976  0.00266378
         585     1.21387      1.1299   0.0026631
         586     1.21421     1.13005  0.00266244
         587      1.2145     1.13019  0.00266179
         588     1.21474     1.13034  0.00266114
