#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         453     -5.4507     -5.4486 0.000155218
         454    -5.45095     -5.4486 0.000154963
         455    -5.45087    -5.44861 0.000154702
         456    -5.45079    -5.44861 0.000154437
         457    -5.45136    -5.44862 0.000154216
         458    -5.45095    -5.44862 0.000153964
         459    -5.45087    -5.44863 0.000153706
         460    -5.45046    -5.44863 0.000153423
         461    -5.45135    -5.44864 0.000153203
         462    -5.45126    -5.44864 0.000152976
         463    -5.44988    -5.44865 0.000152669
         464    -5.44947    -5.44865  0.00015235
         465    -5.44905    -5.44865 0.000152025
         466    -5.45026    -5.44865 0.000151738
         467    -5.45049    -5.44866 0.000151464
         468    -5.45105    -5.44866 0.000151227
         469    -5.45161    -5.44867 0.000151035
         470    -5.45119    -5.44867 0.000150809
         471    -5.45046    -5.44868 0.000150537
         472    -5.45004    -5.44868 0.000150245
         473    -5.44931    -5.44868 0.000149934
         474    -5.44987    -5.44868 0.000149638
         475    -5.44881    -5.44869 0.000149323
         476    -5.44873    -5.44869  0.00014901
         477    -5.44832    -5.44868 0.000148699
         478    -5.44856    -5.44868 0.000148389
         479    -5.44815    -5.44868 0.000148083
         480    -5.44774    -5.44868 0.000147787
         481    -5.44766    -5.44868 0.000147495
         482    -5.44791    -5.44868 0.000147198
         483    -5.44783    -5.44868 0.000146904
         484    -5.44808    -5.44867 0.000146605
         485    -5.44897    -5.44867 0.000146304
         486    -5.44858    -5.44867 0.000146003
         487    -5.44851    -5.44867 0.000145704
         488    -5.44812    -5.44867  0.00014541
         489    -5.44805    -5.44867 0.000145118
         490    -5.44766    -5.44867 0.000144837
         491    -5.44792    -5.44867  0.00014455
         492    -5.44721    -5.44867 0.000144286
         493     -5.4465    -5.44866  0.00014406
         494    -5.44612    -5.44866  0.00014386
         495    -5.44639    -5.44865 0.000143642
         496    -5.44633    -5.44865 0.000143429
         497    -5.44563    -5.44864 0.000143268
         498    -5.44558    -5.44863 0.000143112
         499    -5.44586    -5.44863 0.000142933
         500    -5.44549    -5.44862 0.000142785
         501    -5.44544    -5.44862 0.000142641
         502     -5.4454    -5.44861 0.000142501
         503    -5.44504     -5.4486 0.000142395
         504    -5.44565     -5.4486 0.000142233
         505    -5.44593    -5.44859 0.000142049
         506    -5.44492    -5.44858 0.000141953
         507    -5.44489    -5.44858  0.00014186
         508    -5.44421    -5.44857 0.000141842
         509    -5.44385    -5.44856 0.000141866
         510    -5.44317    -5.44855  0.00014198
         511    -5.44411    -5.44854 0.000141968
         512    -5.44408    -5.44853 0.000141958
         513    -5.44437    -5.44852 0.000141912
         514    -5.44467    -5.44852 0.000141834
         515    -5.44432    -5.44851 0.000141793
         516    -5.44429     -5.4485 0.000141753
         517    -5.44556    -5.44849 0.000141593
         518    -5.44521    -5.44849 0.000141461
         519    -5.44584    -5.44848 0.000141281
         520    -5.44549    -5.44848 0.000141126
         521    -5.44547    -5.44847 0.000140974
         522    -5.44577    -5.44847 0.000140798
         523    -5.44543    -5.44846 0.000140649
         524    -5.44573    -5.44845 0.000140477
         525    -5.44604    -5.44845 0.000140285
