#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         626     -6.6053    -6.66017  0.00275305
         627    -6.60568    -6.66008  0.00275004
         628    -6.60571    -6.65999  0.00274702
         629     -6.6067    -6.65991  0.00274396
         630    -6.60703    -6.65982  0.00274089
         631    -6.60669    -6.65974  0.00273784
         632    -6.60763    -6.65966  0.00273474
         633    -6.60856    -6.65958  0.00273162
         634    -6.60882     -6.6595  0.00272848
         635    -6.60907    -6.65942  0.00272534
         636     -6.6093    -6.65934  0.00272219
         637    -6.60855    -6.65926  0.00271909
         638    -6.60908    -6.65918  0.00271596
         639     -6.6083     -6.6591  0.00271288
         640     -6.6088    -6.65902  0.00270978
         641    -6.60929    -6.65894  0.00270666
         642    -6.60944    -6.65887  0.00270354
         643    -6.60957    -6.65879  0.00270042
         644     -6.6097    -6.65871  0.00269731
         645    -6.60981    -6.65864  0.00269419
         646    -6.61023    -6.65856  0.00269106
         647    -6.61064    -6.65849  0.00268792
         648    -6.61072    -6.65841  0.00268478
         649    -6.61046    -6.65834  0.00268166
         650     -6.6102    -6.65827  0.00267856
         651    -6.61057    -6.65819  0.00267545
         652    -6.61092    -6.65812  0.00267233
         653     -6.6103    -6.65805  0.00266924
         654       -6.61    -6.65797  0.00266617
         655    -6.61033     -6.6579  0.00266309
         656    -6.61066    -6.65783     0.00266
         657    -6.61066    -6.65776  0.00265692
         658    -6.61065    -6.65769  0.00265385
         659    -6.61063    -6.65761  0.00265078
         660    -6.61061    -6.65754  0.00264772
         661    -6.61058    -6.65747  0.00264467
