#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         319     1.31261     1.22835  0.00409637
         320      1.3094      1.2286  0.00409139
         321     1.30616     1.22884  0.00408577
         322     1.30288     1.22907  0.00407955
         323     1.29958     1.22929  0.00407275
         324     1.29625      1.2295  0.00406542
         325     1.29289     1.22969  0.00405759
         326     1.28952     1.22988  0.00404929
         327     1.28612     1.23005  0.00404056
         328     1.28272     1.23021  0.00403143
         329     1.27929     1.23036  0.00402194
         330     1.27586     1.23049  0.00401211
         331     1.27242     1.23062  0.00400199
         332     1.26898     1.23074   0.0039916
         333     1.26553     1.23084  0.00398098
         334     1.26208     1.23094  0.00397016
         335     1.25864     1.23102  0.00395917
         336      1.2552     1.23109  0.00394804
         337     1.25177     1.23115  0.00393681
         338     1.24835      1.2312  0.00392549
         339     1.24494     1.23124  0.00391412
         340     1.24154     1.23127  0.00390272
         341     1.23815     1.23129  0.00389133
         342     1.23477      1.2313  0.00387997
         343     1.23142      1.2313  0.00386865
         344     1.22808     1.23129  0.00385742
         345     1.22476     1.23128  0.00384628
         346     1.22147     1.23125  0.00383527
         347     1.21819     1.23121   0.0038244
         348     1.21494     1.23116   0.0038137
         349     1.21171     1.23111  0.00380318
         350      1.2085     1.23104  0.00379286
         351     1.20533     1.23097  0.00378276
         352     1.20218     1.23089   0.0037729
         353     1.19906      1.2308  0.00376329
         354     1.19597      1.2307  0.00375395
         355      1.1929     1.23059  0.00374488
         356     1.18987     1.23048  0.00373611
         357     1.18688     1.23036  0.00372764
         358     1.18391     1.23023  0.00371948
         359     1.18098     1.23009  0.00371165
         360     1.17809     1.22994  0.00370415
         361     1.17523     1.22979  0.00369699
         362     1.17241     1.22963  0.00369017
         363     1.16964     1.22947  0.00368371
         364      1.1669      1.2293  0.00367759
         365      1.1642     1.22912  0.00367184
         366     1.16155     1.22893  0.00366644
         367     1.15895     1.22874  0.00366141
         368     1.15639     1.22855  0.00365674
         369     1.15389     1.22834  0.00365242
         370     1.15143     1.22814  0.00364846
         371     1.14903     1.22792  0.00364485
         372     1.14668      1.2277  0.00364159
         373     1.14439     1.22748  0.00363867
         374     1.14217     1.22725  0.00363608
         375        1.14     1.22702  0.00363382
         376      1.1379     1.22678  0.00363188
         377     1.13587     1.22654  0.00363024
         378     1.13392      1.2263   0.0036289
         379     1.13203     1.22605  0.00362784
         380     1.13023      1.2258  0.00362705
         381      1.1285     1.22554  0.00362651
         382     1.12686     1.22528   0.0036262
         383      1.1253     1.22502  0.00362612
         384     1.12384     1.22476  0.00362624
         385     1.12246     1.22449  0.00362654
         386     1.12118     1.22423  0.00362701
         387        1.12     1.22396  0.00362762
         388     1.11893     1.22369  0.00362835
         389     1.11795     1.22341  0.00362919
         390     1.11709     1.22314  0.00363011
         391     1.11633     1.22287  0.00363109
         392     1.11568     1.22259  0.00363211
         393     1.11515     1.22232  0.00363314
         394     1.11474     1.22205  0.00363417
         395     1.11445     1.22178  0.00363516
         396     1.11427      1.2215  0.00363611
         397     1.11422     1.22123  0.00363697
         398     1.11429     1.22096  0.00363775
         399     1.11449      1.2207   0.0036384
         400     1.11482     1.22043  0.00363892
         401     1.11527     1.22017  0.00363929
         402     1.11585     1.21991  0.00363948
         403     1.11655     1.21966  0.00363947
         404     1.11738      1.2194  0.00363926
         405     1.11834     1.21915  0.00363882
         406     1.11943     1.21891  0.00363813
         407     1.12064     1.21867   0.0036372
         408     1.12197     1.21843    0.003636
         409     1.12343      1.2182  0.00363452
         410       1.125     1.21797  0.00363275
         411     1.12669     1.21775   0.0036307
         412      1.1285     1.21753  0.00362834
         413     1.13041     1.21732  0.00362568
         414     1.13243     1.21711  0.00362272
         415     1.13456     1.21692  0.00361945
         416     1.13679     1.21672  0.00361587
         417     1.13911     1.21654  0.00361198
         418     1.14152     1.21636   0.0036078
         419     1.14403     1.21618  0.00360331
         420     1.14661     1.21602  0.00359854
         421     1.14928     1.21586  0.00359348
         422     1.15201     1.21571  0.00358815
         423     1.15482     1.21556  0.00358256
         424     1.15768     1.21543  0.00357671
         425      1.1606      1.2153  0.00357062
         426     1.16358     1.21518   0.0035643
         427      1.1666     1.21506  0.00355777
         428     1.16966     1.21496  0.00355103
         429     1.17276     1.21486  0.00354412
         430     1.17589     1.21477  0.00353703
         431     1.17905     1.21469   0.0035298
         432     1.18222     1.21461  0.00352243
         433      1.1854     1.21454  0.00351494
         434      1.1886     1.21448  0.00350735
         435     1.19179     1.21443  0.00349967
         436     1.19499     1.21439  0.00349193
         437     1.19818     1.21435  0.00348414
         438     1.20135     1.21432  0.00347631
         439     1.20451      1.2143  0.00346846
         440     1.20765     1.21428  0.00346061
         441     1.21075     1.21427  0.00345277
         442     1.21383     1.21427  0.00344496
         443     1.21687     1.21428  0.00343719
         444     1.21988     1.21429  0.00342947
         445     1.22284     1.21431  0.00342182
         446     1.22575     1.21434  0.00341424
         447     1.22861     1.21437  0.00340676
         448     1.23141     1.21441  0.00339936
         449     1.23416     1.21445  0.00339208
         450     1.23685      1.2145   0.0033849
         451     1.23947     1.21456  0.00337785
         452     1.24203     1.21462  0.00337092
         453     1.24451     1.21468  0.00336413
         454     1.24692     1.21475  0.00335747
         455     1.24926     1.21483  0.00335095
         456     1.25151     1.21491  0.00334456
         457     1.25369       1.215  0.00333832
         458     1.25579     1.21508  0.00333222
         459      1.2578     1.21518  0.00332626
         460     1.25973     1.21527  0.00332044
         461     1.26158     1.21537  0.00331475
         462     1.26333     1.21548   0.0033092
         463     1.26501     1.21559  0.00330379
         464     1.26659      1.2157  0.00329849
         465     1.26809     1.21581  0.00329332
         466      1.2695     1.21592  0.00328827
         467     1.27082     1.21604  0.00328333
         468     1.27205     1.21616   0.0032785
         469     1.27319     1.21628  0.00327376
         470     1.27424     1.21641  0.00326912
         471      1.2752     1.21653  0.00326456
         472     1.27607     1.21666  0.00326008
         473     1.27685     1.21678  0.00325567
         474     1.27754     1.21691  0.00325132
         475     1.27814     1.21704  0.00324703
         476     1.27867     1.21717  0.00324279
         477      1.2791      1.2173  0.00323859
         478     1.27945     1.21743  0.00323442
         479     1.27972     1.21756  0.00323028
         480      1.2799     1.21769  0.00322616
         481        1.28     1.21782  0.00322205
         482     1.28002     1.21795  0.00321795
         483     1.27996     1.21808  0.00321385
         484     1.27982      1.2182  0.00320974
         485      1.2796     1.21833  0.00320562
         486     1.27932     1.21846  0.00320148
         487     1.27896     1.21858  0.00319731
         488     1.27853      1.2187  0.00319312
         489     1.27803     1.21882  0.00318889
         490     1.27746     1.21894  0.00318463
         491     1.27683     1.21906  0.00318033
         492     1.27614     1.21918  0.00317598
         493     1.27539     1.21929  0.00317158
         494     1.27457      1.2194  0.00316713
         495      1.2737     1.21951  0.00316264
         496     1.27277     1.21962  0.00315808
         497     1.27179     1.21973  0.00315347
         498     1.27075     1.21983   0.0031488
         499     1.26966     1.21993  0.00314408
         500     1.26853     1.22003  0.00313929
         501     1.26734     1.22012  0.00313444
         502     1.26612     1.22021  0.00312954
         503     1.26485      1.2203  0.00312457
         504     1.26354     1.22039  0.00311955
         505     1.26219     1.22047  0.00311447
         506     1.26081     1.22055  0.00310934
         507     1.25939     1.22063  0.00310415
         508     1.25793      1.2207  0.00309891
         509     1.25644     1.22077  0.00309361
         510     1.25492     1.22084  0.00308827
         511     1.25336      1.2209  0.00308289
         512     1.25177     1.22096  0.00307745
         513     1.25016     1.22102  0.00307198
         514     1.24851     1.22107  0.00306647
         515     1.24684     1.22112  0.00306092
         516     1.24513     1.22117  0.00305535
         517      1.2434     1.22121  0.00304974
         518     1.24165     1.22125  0.00304411
         519     1.23987     1.22129  0.00303845
         520     1.23807     1.22132  0.00303278
         521     1.23625     1.22135   0.0030271
         522      1.2344     1.22137   0.0030214
         523     1.23253     1.22139   0.0030157
         524     1.23064     1.22141  0.00300999
         525     1.22873     1.22142  0.00300429
         526     1.22681     1.22143   0.0029986
         527     1.22486     1.22144  0.00299292
         528     1.22291     1.22144  0.00298725
         529     1.22093     1.22144   0.0029816
         530     1.21894     1.22144  0.00297598
         531     1.21694     1.22143  0.00297039
         532     1.21493     1.22142  0.00296483
         533      1.2129      1.2214  0.00295931
         534     1.21087     1.22138  0.00295383
         535     1.20883     1.22136  0.00294841
         536     1.20678     1.22133  0.00294303
         537     1.20473      1.2213  0.00293771
         538     1.20267     1.22127  0.00293246
         539     1.20062     1.22123  0.00292727
         540     1.19857     1.22119  0.00292215
         541     1.19652     1.22114   0.0029171
         542     1.19447     1.22109  0.00291213
         543     1.19244     1.22104  0.00290725
         544     1.19041     1.22098  0.00290245
         545      1.1884     1.22092  0.00289774
         546      1.1864     1.22086  0.00289312
         547     1.18441     1.22079   0.0028886
         548     1.18245     1.22072  0.00288418
         549     1.18051     1.22065  0.00287985
         550     1.17859     1.22057  0.00287563
         551     1.17669     1.22049  0.00287152
         552     1.17483     1.22041   0.0028675
         553     1.17299     1.22032   0.0028636
         554     1.17119     1.22024  0.00285981
         555     1.16942     1.22014  0.00285612
         556     1.16769     1.22005  0.00285254
         557     1.16601     1.21995  0.00284907
         558     1.16436     1.21985   0.0028457
         559     1.16276     1.21975  0.00284244
         560     1.16121     1.21965  0.00283929
         561     1.15971     1.21954  0.00283624
         562     1.15827     1.21943  0.00283329
         563     1.15687     1.21932  0.00283043
         564     1.15553     1.21921  0.00282767
         565     1.15425     1.21909    0.002825
         566     1.15303     1.21897  0.00282242
         567     1.15186     1.21886  0.00281992
         568     1.15076     1.21874  0.00281751
         569     1.14971     1.21861  0.00281517
         570     1.14873     1.21849   0.0028129
         571     1.14782     1.21837  0.00281069
         572     1.14696     1.21824  0.00280855
         573     1.14617     1.21812  0.00280646
         574     1.14545     1.21799  0.00280443
         575     1.14479     1.21786  0.00280244
         576     1.14419     1.21774  0.00280049
         577     1.14366     1.21761  0.00279858
         578     1.14319     1.21748  0.00279669
         579     1.14278     1.21735  0.00279484
         580     1.14243     1.21722    0.002793
         581     1.14214     1.21709  0.00279118
         582     1.14191     1.21696  0.00278938
         583     1.14173     1.21683  0.00278757
         584     1.14161      1.2167  0.00278578
         585     1.14154     1.21658  0.00278397
         586     1.14152     1.21645  0.00278217
         587     1.14155     1.21632  0.00278035
         588     1.14163     1.21619  0.00277852
         589     1.14176     1.21607  0.00277668
         590     1.14192     1.21594  0.00277482
         591     1.14213     1.21582  0.00277293
         592     1.14238     1.21569  0.00277102
         593     1.14266     1.21557  0.00276908
         594     1.14298     1.21545  0.00276712
         595     1.14333     1.21533  0.00276512
         596     1.14371     1.21521  0.00276309
         597     1.14412     1.21509  0.00276102
         598     1.14455     1.21497  0.00275893
         599     1.14501     1.21485  0.00275679
         600     1.14548     1.21474  0.00275462
         601     1.14598     1.21462  0.00275241
         602     1.14649     1.21451  0.00275017
         603     1.14702      1.2144  0.00274788
         604     1.14755     1.21429  0.00274556
         605      1.1481     1.21418   0.0027432
         606     1.14866     1.21407   0.0027408
         607     1.14922     1.21396  0.00273837
         608     1.14978     1.21386   0.0027359
         609     1.15034     1.21375  0.00273339
         610     1.15091     1.21365  0.00273085
         611     1.15147     1.21355  0.00272828
         612     1.15203     1.21345  0.00272567
         613     1.15259     1.21335  0.00272303
         614     1.15314     1.21325  0.00272036
         615     1.15368     1.21315  0.00271766
         616     1.15421     1.21306  0.00271494
         617     1.15473     1.21296  0.00271218
         618     1.15524     1.21287   0.0027094
         619     1.15575     1.21278  0.00270659
         620     1.15623     1.21269  0.00270376
         621     1.15671     1.21259  0.00270091
         622     1.15717     1.21251  0.00269804
         623     1.15762     1.21242  0.00269515
         624     1.15806     1.21233  0.00269223
         625     1.15848     1.21224   0.0026893
         626     1.15889     1.21216  0.00268636
         627     1.15928     1.21207   0.0026834
         628     1.15966     1.21199  0.00268042
         629     1.16001     1.21191  0.00267744
         630     1.16036     1.21183  0.00267444
         631     1.16068     1.21175  0.00267143
         632     1.16099     1.21167  0.00266841
         633     1.16129     1.21159  0.00266538
         634     1.16156     1.21151  0.00266234
         635     1.16183     1.21143   0.0026593
         636     1.16208     1.21135  0.00265625
         637     1.16231     1.21127  0.00265319
         638     1.16253      1.2112  0.00265013
         639     1.16273     1.21112  0.00264707
         640     1.16292     1.21105  0.00264401
         641      1.1631     1.21097  0.00264094
         642     1.16326      1.2109  0.00263787
         643     1.16341     1.21082   0.0026348
         644     1.16355     1.21075  0.00263173
         645     1.16368     1.21068  0.00262867
         646     1.16379      1.2106   0.0026256
         647     1.16388     1.21053  0.00262253
         648     1.16397     1.21046  0.00261947
         649     1.16405     1.21039  0.00261641
         650     1.16412     1.21032  0.00261335
         651     1.16417     1.21025   0.0026103
         652     1.16422     1.21018  0.00260725
         653     1.16425     1.21011  0.00260421
         654     1.16428     1.21004  0.00260117
         655      1.1643     1.20997  0.00259813
         656     1.16431      1.2099   0.0025951
         657     1.16431     1.20983  0.00259208
         658     1.16431     1.20976  0.00258906
         659      1.1643     1.20969  0.00258605
         660     1.16428     1.20962  0.00258305
         661     1.16426     1.20955  0.00258005
         662     1.16423     1.20948  0.00257707
         663      1.1642     1.20941  0.00257408
         664     1.16416     1.20935  0.00257111
         665     1.16411     1.20928  0.00256814
         666     1.16407     1.20921  0.00256518
         667     1.16402     1.20914  0.00256223
         668     1.16396     1.20908  0.00255929
         669     1.16391     1.20901  0.00255635
         670     1.16386     1.20894  0.00255343
         671      1.1638     1.20887  0.00255051
         672     1.16374     1.20881   0.0025476
         673     1.16369     1.20874  0.00254469
         674     1.16364     1.20867   0.0025418
         675     1.16359     1.20861  0.00253891
         676     1.16355     1.20854  0.00253603
         677     1.16351     1.20847  0.00253315
         678     1.16347     1.20841  0.00253029
         679     1.16345     1.20834  0.00252743
         680     1.16342     1.20827  0.00252457
         681     1.16341     1.20821  0.00252172
         682     1.16341     1.20814  0.00251888
         683     1.16342     1.20808  0.00251605
         684     1.16344     1.20801  0.00251321
         685     1.16347     1.20795  0.00251039
         686     1.16352     1.20788  0.00250756
         687     1.16358     1.20782  0.00250474
         688     1.16366     1.20775  0.00250192
         689     1.16376     1.20769   0.0024991
         690     1.16388     1.20763  0.00249629
         691     1.16402     1.20756  0.00249347
         692     1.16417      1.2075  0.00249066
         693     1.16436     1.20744  0.00248784
         694     1.16457     1.20738  0.00248503
         695      1.1648     1.20731   0.0024822
         696     1.16506     1.20725  0.00247938
         697     1.16535     1.20719  0.00247655
         698     1.16566     1.20713  0.00247372
         699     1.16601     1.20708  0.00247088
         700     1.16639     1.20702  0.00246803
         701      1.1668     1.20696  0.00246518
         702     1.16724      1.2069  0.00246232
         703     1.16771     1.20685  0.00245945
         704     1.16822     1.20679  0.00245656
         705     1.16876     1.20674  0.00245367
         706     1.16933     1.20669  0.00245077
         707     1.16994     1.20663  0.00244785
         708     1.17059     1.20658  0.00244493
         709     1.17127     1.20653  0.00244198
         710     1.17198     1.20648  0.00243903
         711     1.17273     1.20644  0.00243606
         712     1.17352     1.20639  0.00243308
         713     1.17434     1.20635  0.00243008
         714     1.17519      1.2063  0.00242707
         715     1.17607     1.20626  0.00242404
         716     1.17699     1.20622    0.002421
         717     1.17793     1.20618  0.00241795
         718      1.1789     1.20614  0.00241488
         719     1.17991      1.2061  0.00241179
         720     1.18093     1.20607   0.0024087
         721     1.18199     1.20604  0.00240559
         722     1.18307       1.206  0.00240247
         723     1.18417     1.20597  0.00239933
         724      1.1853     1.20595  0.00239619
         725     1.18644     1.20592  0.00239304
         726      1.1876     1.20589  0.00238987
         727     1.18878     1.20587   0.0023867
         728     1.18997     1.20585  0.00238352
         729     1.19118     1.20583  0.00238034
         730     1.19239     1.20581  0.00237715
