#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         399    0.742994    0.813799   0.0024256
         400     0.74321    0.813622  0.00242595
         401    0.743511    0.813447  0.00242619
         402    0.743897    0.813274  0.00242632
         403    0.744367    0.813103  0.00242631
         404    0.744921    0.812935  0.00242617
         405    0.745561    0.812768  0.00242588
         406    0.746285    0.812604  0.00242542
         407    0.747093    0.812444   0.0024248
         408    0.747981    0.812286    0.002424
         409     0.74895    0.812131  0.00242301
         410    0.749999    0.811979  0.00242184
         411    0.751127    0.811831  0.00242047
         412     0.75233    0.811687   0.0024189
         413    0.753607    0.811546  0.00241712
         414    0.754956    0.811409  0.00241515
         415    0.756374    0.811277  0.00241296
         416    0.757858    0.811148  0.00241058
         417    0.759406    0.811024  0.00240799
         418    0.761016    0.810905   0.0024052
         419    0.762685    0.810789  0.00240221
         420    0.764408    0.810679  0.00239903
         421    0.766184    0.810573  0.00239566
         422    0.768008    0.810473   0.0023921
         423    0.769877    0.810377  0.00238837
         424    0.771788    0.810286  0.00238447
         425    0.773736      0.8102  0.00238041
         426    0.775719    0.810119   0.0023762
         427    0.777734    0.810043  0.00237184
         428    0.779776    0.809972  0.00236736
         429    0.781843    0.809906  0.00236275
         430    0.783929    0.809846  0.00235802
         431     0.78603    0.809791   0.0023532
         432    0.788145    0.809741  0.00234829
         433    0.790269    0.809696  0.00234329
         434    0.792398    0.809656  0.00233823
         435    0.794529    0.809621  0.00233312
         436    0.796659    0.809591  0.00232795
         437    0.798784    0.809567  0.00232276
         438    0.800902    0.809547  0.00231754
         439    0.803007    0.809532  0.00231231
         440    0.805098    0.809522  0.00230707
         441     0.80717    0.809517  0.00230185
         442    0.809221    0.809516  0.00229664
         443    0.811249     0.80952  0.00229146
         444    0.813251    0.809528  0.00228632
         445    0.815224    0.809541  0.00228121
         446    0.817165    0.809558  0.00227616
         447    0.819072    0.809579  0.00227117
         448    0.820942    0.809605  0.00226624
         449    0.822774    0.809634  0.00226138
         450    0.824565    0.809667   0.0022566
         451    0.826313    0.809704   0.0022519
         452    0.828017    0.809745  0.00224728
         453    0.829673    0.809789  0.00224275
         454     0.83128    0.809836  0.00223831
         455    0.832837    0.809887  0.00223396
         456    0.834342     0.80994  0.00222971
         457    0.835794    0.809997  0.00222555
         458    0.837192    0.810056  0.00222148
         459    0.838534    0.810118  0.00221751
         460    0.839821    0.810183  0.00221363
         461     0.84105     0.81025  0.00220984
         462    0.842223    0.810319  0.00220614
         463    0.843338     0.81039  0.00220252
         464    0.844395    0.810463    0.002199
         465    0.845394    0.810539  0.00219555
         466    0.846333    0.810615  0.00219218
         467    0.847212    0.810694  0.00218889
         468    0.848032    0.810774  0.00218566
         469    0.848791    0.810855  0.00218251
         470    0.849491    0.810937  0.00217941
         471    0.850131     0.81102  0.00217637
         472    0.850711    0.811104  0.00217338
         473    0.851231    0.811189  0.00217044
         474    0.851692    0.811274  0.00216755
         475    0.852096     0.81136  0.00216469
         476    0.852443    0.811447  0.00216186
         477    0.852734    0.811533  0.00215906
         478    0.852967     0.81162  0.00215628
         479    0.853144    0.811707  0.00215352
         480    0.853266    0.811793  0.00215077
         481    0.853332     0.81188  0.00214804
         482    0.853345    0.811966   0.0021453
         483    0.853305    0.812051  0.00214257
         484    0.853213    0.812136  0.00213983
         485     0.85307    0.812221  0.00213708
         486    0.852877    0.812304  0.00213432
         487    0.852638    0.812387  0.00213154
         488    0.852351    0.812469  0.00212875
         489     0.85202     0.81255  0.00212593
         490    0.851643     0.81263  0.00212309
         491    0.851223    0.812708  0.00212022
         492     0.85076    0.812786  0.00211732
         493    0.850257    0.812862  0.00211439
         494    0.849714    0.812936  0.00211142
         495    0.849133    0.813009  0.00210842
         496    0.848513    0.813081  0.00210539
         497    0.847857    0.813151  0.00210231
         498    0.847166    0.813219   0.0020992
         499    0.846441    0.813286  0.00209605
         500    0.845683    0.813351  0.00209286
         501    0.844896    0.813414  0.00208963
         502    0.844079    0.813475  0.00208636
         503    0.843234    0.813534  0.00208305
         504    0.842361    0.813591   0.0020797
         505    0.841462    0.813646  0.00207632
         506    0.840539    0.813699  0.00207289
         507    0.839592     0.81375  0.00206943
         508    0.838621    0.813799  0.00206594
         509    0.837627    0.813846  0.00206241
         510    0.836611    0.813891  0.00205885
         511    0.835574    0.813933  0.00205526
         512    0.834516    0.813973  0.00205164
         513    0.833438    0.814011  0.00204799
         514    0.832341    0.814047  0.00204431
         515    0.831224     0.81408  0.00204062
         516    0.830089    0.814111   0.0020369
         517    0.828936     0.81414  0.00203316
         518    0.827766    0.814166   0.0020294
         519    0.826581     0.81419  0.00202564
         520     0.82538    0.814212  0.00202185
         521    0.824164    0.814231  0.00201806
         522    0.822932    0.814248  0.00201427
         523    0.821687    0.814262  0.00201047
         524    0.820428    0.814274  0.00200666
         525    0.819156    0.814283  0.00200286
         526    0.817871     0.81429  0.00199907
         527    0.816576    0.814294  0.00199528
         528    0.815271    0.814296   0.0019915
         529    0.813954    0.814295  0.00198773
         530    0.812628    0.814292  0.00198399
         531    0.811293    0.814286  0.00198026
         532     0.80995    0.814278  0.00197655
         533    0.808601    0.814268  0.00197287
         534    0.807245    0.814254  0.00196922
         535    0.805884    0.814239   0.0019656
         536    0.804519    0.814221  0.00196202
         537    0.803151      0.8142  0.00195848
         538    0.801781    0.814177  0.00195497
         539    0.800412    0.814151  0.00195151
         540    0.799044    0.814124   0.0019481
         541    0.797678    0.814093  0.00194473
         542    0.796315     0.81406  0.00194142
         543    0.794958    0.814025  0.00193817
